Date,Time,Result
2025-12-23,22:14:07.587926,NOT OK
2025-12-23,22:14:07.653114,NOT OK
2025-12-23,22:14:07.693555,NOT OK
2025-12-23,22:14:07.744837,NOT OK
2025-12-23,22:14:07.834598,NOT OK
2025-12-23,22:14:07.950274,NOT OK
2025-12-23,22:14:08.038728,NOT OK
2025-12-23,22:14:08.087629,NOT OK
2025-12-23,22:14:08.125075,NOT OK
2025-12-23,22:14:08.188638,NOT OK
2025-12-23,22:14:08.228033,NOT OK
2025-12-23,22:14:08.293323,NOT OK
2025-12-23,22:14:08.395964,NOT OK
2025-12-23,22:14:08.495737,NOT OK
2025-12-23,22:14:08.610443,NOT OK
2025-12-23,22:14:08.683191,NOT OK
2025-12-23,22:14:08.864494,NOT OK
2025-12-23,22:14:08.939339,NOT OK
2025-12-23,22:14:09.109702,NOT OK
2025-12-23,22:14:09.493951,NOT OK
2025-12-23,22:14:09.707749,NOT OK
2025-12-23,22:14:09.859649,NOT OK
2025-12-23,22:14:10.049882,NOT OK
2025-12-23,22:14:10.552957,NOT OK
2025-12-23,22:14:10.699441,NOT OK
2025-12-23,22:14:10.809598,NOT OK
2025-12-23,22:14:10.886114,NOT OK
2025-12-23,22:14:10.928239,NOT OK
2025-12-23,22:14:11.087645,NOT OK
2025-12-23,22:14:11.157800,NOT OK
2025-12-23,22:14:11.193143,NOT OK
2025-12-23,22:14:11.236350,NOT OK
2025-12-23,22:14:11.288653,NOT OK
2025-12-23,22:14:11.334749,NOT OK
2025-12-23,22:14:11.449376,NOT OK
2025-12-23,22:14:11.510583,NOT OK
2025-12-23,22:14:11.632647,NOT OK
2025-12-23,22:14:11.825622,NOT OK
2025-12-23,22:14:12.229423,NOT OK
2025-12-23,22:14:12.958051,NOT OK
2025-12-23,22:14:14.026342,NOT OK
2025-12-23,22:14:14.903965,NOT OK
2025-12-23,22:14:16.195402,NOT OK
2025-12-23,22:14:16.694729,NOT OK
2025-12-23,22:14:17.193938,NOT OK
2025-12-23,22:14:18.377731,NOT OK
2025-12-23,22:14:19.178064,NOT OK
2025-12-23,22:14:19.672077,NOT OK
2025-12-23,22:14:19.959484,NOT OK
2025-12-23,22:14:20.057679,NOT OK
2025-12-23,22:14:20.272421,NOT OK
2025-12-23,22:14:20.446632,NOT OK
2025-12-23,22:14:20.667690,NOT OK
2025-12-23,22:14:20.850379,NOT OK
2025-12-23,22:14:21.092177,NOT OK
2025-12-23,22:14:21.258237,NOT OK
2025-12-23,22:14:21.350265,NOT OK
2025-12-23,22:14:21.446998,NOT OK
2025-12-23,22:14:21.542041,NOT OK
2025-12-23,22:14:21.648651,NOT OK
2025-12-23,22:14:21.842536,NOT OK
2025-12-23,22:14:21.940153,NOT OK
2025-12-23,22:14:22.133629,NOT OK
2025-12-23,22:14:22.243474,NOT OK
2025-12-23,22:14:22.498185,NOT OK
2025-12-23,22:14:22.642879,NOT OK
2025-12-23,22:14:22.841401,NOT OK
2025-12-23,22:14:22.954833,NOT OK
